"season","event_date","nano","market","name","alias","exp_pts","exp_pts_off","exp_pts_off_pass","exp_pts_off_rush","exp_pts_off_turnover","exp_pts_def","exp_pts_def_pass","exp_pts_def_rush","exp_pts_def_turnover","exp_pts_st","exp_pts_kickoff","exp_pts_kick_return","exp_pts_punt","exp_pts_punt_return","exp_pts_fg_xp","boxscore_stats_link"
2024,"2024-12-26","1vVmWGzUZ1rea","Chicago","Bears","CHI",-3,-12.22,-10.77,-1.19,-1.46,6.51,5.83,-0.72,3.78,2.22,-1.22,2.29,6.37,-4.54,-0.68,"https://www.pro-football-reference.com/boxscores/202412260chi.htm"
2024,"2024-12-26","4M8AK5p0WXs1N","Seattle","Seahawks","SEA",3,-6.51,-5.83,0.72,-3.78,12.22,10.77,1.19,1.46,-2.22,-2.29,1.22,4.54,-6.37,0.68,"https://www.pro-football-reference.com/boxscores/202412260chi.htm"
2024,"2024-12-28","22ZdibiqvfA2D","Cincinnati","Bengals","CIN",6,18.79,21.06,-0.84,-3.02,-8.06,-5.22,-3.17,2.09,-4.41,-4.37,5.7,0.9,-1.95,-4.69,"https://www.pro-football-reference.com/boxscores/202412280cin.htm"
2024,"2024-12-28","6DclFuycdPaOB","Denver","Broncos","DEN",-6,8.06,5.22,3.17,-2.09,-18.79,-21.06,0.84,3.02,4.41,-5.7,4.37,1.95,-0.9,4.69,"https://www.pro-football-reference.com/boxscores/202412280cin.htm"
2024,"2024-12-28","GJizlkzQFaqGA","Arizona","Cardinals","ARI",-4,0.09,0.35,0.49,-5.9,4.17,2.63,0.53,-0.33,-6.46,-3.02,3.89,1.6,-6.05,-2.88,"https://www.pro-football-reference.com/boxscores/202412280ram.htm"
2024,"2024-12-28","SjaMbkmeizJD4","Los Angeles","Chargers","LAC",33,24.19,17.79,6.73,0,14.04,10.95,3.09,5.18,-10.62,-8.46,0.56,0.82,-4.58,1.04,"https://www.pro-football-reference.com/boxscores/202412280nwe.htm"
2024,"2024-12-28","VkxV91RtzHn65","New England","Patriots","NE",-33,-14.04,-10.95,-3.09,-5.18,-24.19,-17.79,-6.73,0,10.62,-0.56,8.46,4.58,-0.82,-1.04,"https://www.pro-football-reference.com/boxscores/202412280nwe.htm"
2024,"2024-12-28","u98I1lDKQBwZ0","Los Angeles","Rams","LAR",4,-4.17,-2.63,-0.53,0.33,-0.09,-0.35,-0.49,5.9,6.46,-3.89,3.02,6.05,-1.6,2.88,"https://www.pro-football-reference.com/boxscores/202412280ram.htm"
2024,"2024-12-29","3VqeLK0LS9rpw","Buffalo","Bills","BUF",28,14.14,22.3,-7.5,0,10.4,6.24,1.21,13.87,1.56,-4.02,4.35,0.06,0.35,0.82,"https://www.pro-football-reference.com/boxscores/202412290buf.htm"
2024,"2024-12-29","9JtBk8kFeaGEs","Washington","Football Team","WAS",6,14.05,2.63,12.08,-4.92,-10.2,-6.32,-3.9,3.94,2.41,-4.76,5.7,1.37,0.01,0.09,"https://www.pro-football-reference.com/boxscores/202412290was.htm"
2024,"2024-12-29","AzOs5UWsXusSW","Minnesota","Vikings","MIN",3,14.06,20.68,-6.05,-4.77,-2.07,-4.65,2.57,3.73,-8.79,-5.36,3.64,0.44,-2.56,-4.95,"https://www.pro-football-reference.com/boxscores/202412290min.htm"
2024,"2024-12-29","CI5mhfNa0Zqd2","New Orleans","Saints","NO",-15,-11.13,-13.5,2.69,-8.62,-8.77,-10.48,1.71,0,3.55,-1.41,6.58,2.64,-1.63,-2.63,"https://www.pro-football-reference.com/boxscores/202412290nor.htm"
2024,"2024-12-29","D5QY6bOxfn8ZL","Green Bay","Packers","GB",-3,2.07,4.65,-2.57,-3.73,-14.06,-20.68,6.05,4.77,8.79,-3.64,5.36,2.56,-0.44,4.95,"https://www.pro-football-reference.com/boxscores/202412290min.htm"
2024,"2024-12-29","IR4gIYmh269EI","Cleveland","Browns","CLE",-17,-23.73,-21.38,-1.69,-6.64,4.5,-6.4,9.27,-0.85,2.96,-1.88,3.56,3.87,-1.13,-1.46,"https://www.pro-football-reference.com/boxscores/202412290cle.htm"
2024,"2024-12-29","KdjU81i7YSFE7","Dallas","Cowboys","DAL",-34,-14.87,-11.64,-3.23,-18.99,-19.78,-17.84,-1.28,0,2.29,-2.67,5.05,3.57,-0.46,-3.2,"https://www.pro-football-reference.com/boxscores/202412290phi.htm"
2024,"2024-12-29","LJmHetie5VbbO","Indianapolis","Colts","IND",-13,10.15,14.37,-2.22,-12.67,-14.78,-28.24,11.71,0,-10.37,-12.64,7.52,-0.08,-2.68,-2.49,"https://www.pro-football-reference.com/boxscores/202412290nyg.htm"
2024,"2024-12-29","LZoDld8s63xUs","Las Vegas","Raiders","LV",15,8.77,10.48,-1.71,0,11.13,13.5,-2.69,8.62,-3.55,-6.58,1.41,1.63,-2.64,2.63,"https://www.pro-football-reference.com/boxscores/202412290nor.htm"
2024,"2024-12-29","QMAZH1v922YLu","Tampa Bay","Buccaneers","TB",34,35.23,29.41,6.27,0,1.67,0.36,0.99,0,-2.32,-8.13,1.16,1.23,1.84,1.58,"https://www.pro-football-reference.com/boxscores/202412290tam.htm"
2024,"2024-12-29","RtOjnciWkJPaL","Jacksonville","Jaguars","JAC",7,7.91,7.3,1.73,0,-3.03,-2.13,-2.05,3.22,2.11,-2.87,3.01,1.18,-0.93,1.72,"https://www.pro-football-reference.com/boxscores/202412290jax.htm"
2024,"2024-12-29","hjjmgzxilGWdr","Philadelphia","Eagles","PHI",34,19.78,17.84,1.28,0,14.87,11.64,3.23,18.99,-2.29,-5.05,2.67,0.46,-3.57,3.2,"https://www.pro-football-reference.com/boxscores/202412290phi.htm"
2024,"2024-12-29","jJBGuksuDJF5L","Carolina","Panthers","CAR",-34,-1.67,-0.36,-0.99,0,-35.23,-29.41,-6.27,0,2.32,-1.16,8.13,-1.84,-1.23,-1.58,"https://www.pro-football-reference.com/boxscores/202412290tam.htm"
2024,"2024-12-29","ltMyRE3yvVUaw","Tennessee","Titans","TEN",-7,3.03,2.13,2.05,-3.22,-7.91,-7.3,-1.73,0,-2.11,-3.01,2.87,0.93,-1.18,-1.72,"https://www.pro-football-reference.com/boxscores/202412290jax.htm"
2024,"2024-12-29","mLspw4gJNTQGN","Atlanta","Falcons","ATL",-6,10.2,6.32,3.9,-3.94,-14.05,-2.63,-12.08,4.92,-2.41,-5.7,4.76,-0.01,-1.37,-0.09,"https://www.pro-football-reference.com/boxscores/202412290was.htm"
2024,"2024-12-29","mexvMWO2v1hWn","New York","Jets","NYJ",-28,-10.4,-6.24,-1.21,-13.87,-14.14,-22.3,7.5,0,-1.56,-4.35,4.02,-0.35,-0.06,-0.82,"https://www.pro-football-reference.com/boxscores/202412290buf.htm"
2024,"2024-12-29","mfbu6O5aMHbJg","Miami","Dolphins","MIA",17,-4.5,6.4,-9.27,0.85,23.73,21.38,1.69,6.64,-2.96,-3.56,1.88,1.13,-3.87,1.46,"https://www.pro-football-reference.com/boxscores/202412290cle.htm"
2024,"2024-12-29","n8CuHV9wbYCqF","New York","Giants","NYG",13,14.78,28.24,-11.71,0,-10.15,-14.37,2.22,12.67,10.37,-7.52,12.64,2.68,0.08,2.49,"https://www.pro-football-reference.com/boxscores/202412290nyg.htm"
2024,"2024-12-30","FCuH1wdksA2DQ","Detroit","Lions","DET",5,24.46,21.1,3.36,0,-25.85,-19.44,-5.94,8.51,8.14,-7.1,7.22,0,0,8.02,"https://www.pro-football-reference.com/boxscores/202412300sfo.htm"
2024,"2024-12-30","IwSI92ZDKoazn","San Francisco","49ers","SF",-5,25.85,19.44,5.94,-8.51,-24.46,-21.1,-3.36,0,-8.14,-7.22,7.1,0,0,-8.02,"https://www.pro-football-reference.com/boxscores/202412300sfo.htm"
2024,"2025-01-04","22ZdibiqvfA2D","Cincinnati","Bengals","CIN",2,-2.49,-1.99,0.51,-3.1,8.27,4,4.27,0,-0.72,-6.43,5.2,6.46,-6.27,0.32,"https://www.pro-football-reference.com/boxscores/202501040pit.htm"
2024,"2025-01-04","IR4gIYmh269EI","Cleveland","Browns","CLE",-25,-17.79,-11.13,-5.1,-11.68,-14.19,-10.92,-4.42,0,4.39,-4.27,7.49,1.55,-0.37,-0.01,"https://www.pro-football-reference.com/boxscores/202501040rav.htm"
2024,"2025-01-04","SlVgURDFI7EXX","Pittsburgh","Steelers","PIT",-2,-8.27,-4,-4.27,0,2.49,1.99,-0.51,3.1,0.72,-5.2,6.43,6.27,-6.46,-0.32,"https://www.pro-football-reference.com/boxscores/202501040pit.htm"
2024,"2025-01-04","zyhFXj1nywrm1","Baltimore","Ravens","BAL",25,14.19,10.92,4.42,0,17.79,11.13,5.1,11.68,-4.39,-7.49,4.27,0.37,-1.55,0.01,"https://www.pro-football-reference.com/boxscores/202501040rav.htm"
2024,"2025-01-05","1vVmWGzUZ1rea","Chicago","Bears","CHI",2,-8.65,-2.02,-4.63,-9.56,2.71,1.01,0.43,10.35,8.37,-1.99,5.24,1.46,6.79,-3.13,"https://www.pro-football-reference.com/boxscores/202501050gnb.htm"
2024,"2025-01-05","3VqeLK0LS9rpw","Buffalo","Bills","BUF",-7,-6.28,-5.31,-0.3,0,0.12,-9.8,7.93,4.85,-0.35,-3.96,5.5,1.95,-0.64,-3.2,"https://www.pro-football-reference.com/boxscores/202501050nwe.htm"
2024,"2025-01-05","4M8AK5p0WXs1N","Seattle","Seahawks","SEA",5,13.35,14.02,2.67,0,-7.91,-8.56,-2,3.02,-1.29,-6.56,5.44,3.09,-1,-2.26,"https://www.pro-football-reference.com/boxscores/202501050ram.htm"
2024,"2025-01-05","6DclFuycdPaOB","Denver","Broncos","DEN",38,31.94,25.54,6.73,0,12.77,7.75,4.03,0,-6.98,-6.91,0.94,1.3,-4.17,1.86,"https://www.pro-football-reference.com/boxscores/202501050den.htm"
2024,"2025-01-05","9JtBk8kFeaGEs","Washington","Football Team","WAS",3,5.93,2.59,5.67,0,-2.48,-2.27,-1.96,0,-2.57,-5.03,5.31,5.18,-7.14,-0.89,"https://www.pro-football-reference.com/boxscores/202501050dal.htm"
2024,"2025-01-05","AzOs5UWsXusSW","Minnesota","Vikings","MIN",-22,-14.27,-16.83,3.9,0,-8.19,-4.92,-0.87,7.88,0.26,-4.42,4.04,2.04,-1.49,0.09,"https://www.pro-football-reference.com/boxscores/202501050det.htm"
2024,"2025-01-05","CI5mhfNa0Zqd2","New Orleans","Saints","NO",-8,-0.04,0.49,2.83,0,-14.98,-9.67,-6.67,2.63,4.89,-5.18,5.64,2.21,0.23,1.99,"https://www.pro-football-reference.com/boxscores/202501050tam.htm"
2024,"2025-01-05","D5QY6bOxfn8ZL","Green Bay","Packers","GB",-2,-2.71,-1.01,-0.43,-10.35,8.65,2.02,4.63,9.56,-8.37,-5.24,1.99,-6.79,-1.46,3.13,"https://www.pro-football-reference.com/boxscores/202501050gnb.htm"
2024,"2025-01-05","FCuH1wdksA2DQ","Detroit","Lions","DET",22,8.19,4.92,0.87,-7.88,14.27,16.83,-3.9,0,-0.26,-4.04,4.42,1.49,-2.04,-0.09,"https://www.pro-football-reference.com/boxscores/202501050det.htm"
2024,"2025-01-05","GJizlkzQFaqGA","Arizona","Cardinals","ARI",23,24.1,14.95,10.47,0,-4.86,-3.98,-2.23,9.67,2.64,-6.62,4.7,1.96,-0.81,3.41,"https://www.pro-football-reference.com/boxscores/202501050crd.htm"
2024,"2025-01-05","IwSI92ZDKoazn","San Francisco","49ers","SF",-23,4.86,3.98,2.23,-9.67,-24.1,-14.95,-10.47,0,-2.64,-4.7,6.62,0.81,-1.96,-3.41,"https://www.pro-football-reference.com/boxscores/202501050crd.htm"
2024,"2025-01-05","KdjU81i7YSFE7","Dallas","Cowboys","DAL",-3,2.48,2.27,1.96,0,-5.93,-2.59,-5.67,0,2.57,-5.31,5.03,7.14,-5.18,0.89,"https://www.pro-football-reference.com/boxscores/202501050dal.htm"
2024,"2025-01-05","LJmHetie5VbbO","Indianapolis","Colts","IND",3,8.74,1,8.18,0,-3.34,-5.66,1.41,0.66,-2.66,-6.58,6.58,3.36,-3.54,-2.48,"https://www.pro-football-reference.com/boxscores/202501050clt.htm"
2024,"2025-01-05","LZoDld8s63xUs","Las Vegas","Raiders","LV",-13,0.48,1.71,-1.23,-4.39,-21.79,-19.85,-3.74,0,6.53,-6.48,8.04,3.53,-1.68,3.12,"https://www.pro-football-reference.com/boxscores/202501050rai.htm"
2024,"2025-01-05","QMAZH1v922YLu","Tampa Bay","Buccaneers","TB",8,14.98,9.67,6.67,-2.63,0.04,-0.49,-2.83,0,-4.89,-5.64,5.18,-0.23,-2.21,-1.99,"https://www.pro-football-reference.com/boxscores/202501050tam.htm"
2024,"2025-01-05","RtOjnciWkJPaL","Jacksonville","Jaguars","JAC",-3,3.34,5.66,-1.41,-0.66,-8.74,-1,-8.18,0,2.66,-6.58,6.58,3.54,-3.36,2.48,"https://www.pro-football-reference.com/boxscores/202501050clt.htm"
2024,"2025-01-05","SjaMbkmeizJD4","Los Angeles","Chargers","LAC",13,21.79,19.85,3.74,0,-0.48,-1.71,1.23,4.39,-6.53,-8.04,6.48,1.68,-3.53,-3.12,"https://www.pro-football-reference.com/boxscores/202501050rai.htm"
2024,"2025-01-05","UI0Ax4HUEXFh6","Houston","Texans","HOU",10,7.7,2.81,7.56,-2.93,9,-3.75,12.42,8.73,-2.85,-5.47,6.25,2.61,-3.9,-2.34,"https://www.pro-football-reference.com/boxscores/202501050oti.htm"
2024,"2025-01-05","VkxV91RtzHn65","New England","Patriots","NE",7,-0.12,9.8,-7.93,-4.85,6.28,5.31,0.3,0,0.35,-5.5,3.96,0.64,-1.95,3.2,"https://www.pro-football-reference.com/boxscores/202501050nwe.htm"
2024,"2025-01-05","hjjmgzxilGWdr","Philadelphia","Eagles","PHI",3.22,2.77,7.35,-9.87,0,6.93,8.45,-2.85,3.28,-2.71,-4.7,5.14,2.9,-1.51,-4.54,"https://www.pro-football-reference.com/boxscores/202501050phi.htm"
2024,"2025-01-05","jJBGuksuDJF5L","Carolina","Panthers","CAR",6,25.36,20.33,5.03,0,-26.85,-7.27,-20.08,4.91,7.75,-6.43,7.19,3.94,0,3.05,"https://www.pro-football-reference.com/boxscores/202501050atl.htm"
2024,"2025-01-05","ltMyRE3yvVUaw","Tennessee","Titans","TEN",-10,-9,3.75,-12.42,-8.73,-7.7,-2.81,-7.56,2.93,2.85,-6.25,5.47,3.9,-2.61,2.34,"https://www.pro-football-reference.com/boxscores/202501050oti.htm"
2024,"2025-01-05","mLspw4gJNTQGN","Atlanta","Falcons","ATL",-6,26.85,7.27,20.08,-4.91,-25.36,-20.33,-5.03,0,-7.75,-7.19,6.43,0,-3.94,-3.05,"https://www.pro-football-reference.com/boxscores/202501050atl.htm"
2024,"2025-01-05","mexvMWO2v1hWn","New York","Jets","NYJ",11,9.16,3.36,6.13,-4.44,4.67,9.15,-3.75,14.79,-4.05,-8.54,4.24,1.57,-0.81,-0.51,"https://www.pro-football-reference.com/boxscores/202501050nyj.htm"
