"season","event_date","tm_nano","tm_market","tm_name","tm_alias","opp_nano","opp_market","opp_name","opp_alias","tm_spread","opp_spread","total","attendance","duration","roof_type","surface_type","won_toss","won_toss_decision","won_toss_overtime","won_toss_overtime_decision","temperature","humidity_pct","wind_speed","boxscore_stats_link"
2024,"2024-09-22","GJizlkzQFaqGA","Arizona","Cardinals","ARI","FCuH1wdksA2DQ","Detroit","Lions","DET",2.5,-2.5,51.5,63650,180,"Retractable roof (closed)","Grass","ARI","Deferred",,,,,,"https://www.pro-football-reference.com/boxscores/202409220crd.htm"
2024,"2024-09-22","KdjU81i7YSFE7","Dallas","Cowboys","DAL","zyhFXj1nywrm1","Baltimore","Ravens","BAL",1,-1,48,93566,194,"Retractable roof (closed)","Matrixturf","DAL","Accepted",,,,,,"https://www.pro-football-reference.com/boxscores/202409220dal.htm"
2024,"2024-09-22","AzOs5UWsXusSW","Minnesota","Vikings","MIN","UI0Ax4HUEXFh6","Houston","Texans","HOU",1,-1,46.5,66843,185,"Dome","Sportturf","MIN","Deferred",,,,,,"https://www.pro-football-reference.com/boxscores/202409220min.htm"
2024,"2024-09-22","CI5mhfNa0Zqd2","New Orleans","Saints","NO","hjjmgzxilGWdr","Philadelphia","Eagles","PHI",-2.5,2.5,49.5,70006,183,"Dome","Sportturf","PHI","Deferred",,,,,,"https://www.pro-football-reference.com/boxscores/202409220nor.htm"
2024,"2024-09-22","ltMyRE3yvVUaw","Tennessee","Titans","TEN","D5QY6bOxfn8ZL","Green Bay","Packers","GB",-3,3,37.5,67322,173,"Outdoors","Grass","TEN","Deferred",,,87,59,7,"https://www.pro-football-reference.com/boxscores/202409220oti.htm"
2024,"2024-09-22","SlVgURDFI7EXX","Pittsburgh","Steelers","PIT","SjaMbkmeizJD4","Los Angeles","Chargers","LAC",-1,1,34.5,66734,161,"Outdoors","Grass","PIT","Deferred",,,72,73,2,"https://www.pro-football-reference.com/boxscores/202409220pit.htm"
2024,"2024-09-22","LZoDld8s63xUs","Las Vegas","Raiders","LV","jJBGuksuDJF5L","Carolina","Panthers","CAR",-5.5,5.5,40,62417,193,"Dome","Grass","LV","Deferred",,,,,,"https://www.pro-football-reference.com/boxscores/202409220rai.htm"
2024,"2024-09-22","u98I1lDKQBwZ0","Los Angeles","Rams","LAR","IwSI92ZDKoazn","San Francisco","49ers","SF",6.5,-6.5,43.5,,186,"Dome","Matrixturf","LAR","Deferred",,,,,,"https://www.pro-football-reference.com/boxscores/202409220ram.htm"
2024,"2024-09-22","4M8AK5p0WXs1N","Seattle","Seahawks","SEA","mfbu6O5aMHbJg","Miami","Dolphins","MIA",-4.5,4.5,41.5,68658,187,"Outdoors","Fieldturf","MIA","Deferred",,,64,66,2,"https://www.pro-football-reference.com/boxscores/202409220sea.htm"
2024,"2024-09-22","QMAZH1v922YLu","Tampa Bay","Buccaneers","TB","6DclFuycdPaOB","Denver","Broncos","DEN",-6,6,41,62738,166,"Outdoors","Grass","DEN","Accepted",,,85,61,6,"https://www.pro-football-reference.com/boxscores/202409220tam.htm"
2024,"2024-09-23","3VqeLK0LS9rpw","Buffalo","Bills","BUF","RtOjnciWkJPaL","Jacksonville","Jaguars","JAC",-5.5,5.5,45.5,70316,184,"Outdoors","A_turf","JAC","Deferred",,,68,87,5,"https://www.pro-football-reference.com/boxscores/202409230buf.htm"
2024,"2024-09-23","22ZdibiqvfA2D","Cincinnati","Bengals","CIN","9JtBk8kFeaGEs","Washington","Football Team","WAS",-7.5,7.5,46.5,66207,167,"Outdoors","Fieldturf","WAS","Deferred",,,69,67,5,"https://www.pro-football-reference.com/boxscores/202409230cin.htm"
